Filter, ID, Time_ms, Average_time, Memory_used_MiB, Memory_free_MiB
500, 1, 25, 0, 58, 39852
0, 2, 25, 0, 58, 39852
0, 3, 25, 0, 58, 39852
0, 4, 25, 0, 58, 39852
0, 5, 25, 0, 58, 39852
0, 6, 25, 0, 58, 39852
0, 7, 21, 0, 58, 39852
0, 8, 21, 0, 58, 39852
0, 9, 21, 0, 58, 39852
0, 10, 21, 0, 58, 39852
0, 11, 21, 0, 58, 39852
0, 12, 21, 0, 58, 39852
0, 13, 19, 0, 58, 39852
0, 14, 19, 0, 58, 39852
0, 15, 19, 0, 58, 39852
0, 16, 19, 0, 58, 39852
0, 17, 19, 0, 58, 39852
0, 18, 19, 0, 58, 39852
0, 19, 18, 0, 58, 39852
0, 20, 18, 0, 58, 39852
0, 21, 18, 0, 58, 39852
0, 22, 18, 0, 58, 39852
0, 23, 18, 0, 58, 39852
0, 24, 18, 0, 58, 39852
0, 25, 18, 0, 58, 39852
0, 26, 18, 0, 58, 39852
0, 27, 18, 0, 58, 39852
0, 28, 18, 0, 58, 39852
0, 29, 18, 0, 58, 39852
0, 30, 18, 0, 58, 39852
0, 0, 0, 20
1000, 1, 27, 0, 84, 39826
0, 2, 27, 0, 84, 39826
0, 3, 27, 0, 84, 39826
0, 4, 27, 0, 84, 39826
0, 5, 27, 0, 84, 39826
0, 6, 27, 0, 84, 39826
0, 7, 27, 0, 84, 39826
0, 8, 26, 0, 84, 39826
0, 9, 26, 0, 84, 39826
0, 10, 26, 0, 84, 39826
0, 11, 27, 0, 84, 39826
0, 12, 26, 0, 84, 39826
0, 13, 27, 0, 84, 39826
0, 14, 33, 0, 84, 39826
0, 15, 27, 0, 84, 39826
0, 16, 27, 0, 84, 39826
0, 17, 26, 0, 84, 39826
0, 18, 27, 0, 84, 39826
0, 19, 28, 0, 84, 39826
0, 20, 26, 0, 84, 39826
0, 21, 26, 0, 84, 39826
0, 22, 27, 0, 84, 39826
0, 23, 26, 0, 84, 39826
0, 24, 30, 0, 84, 39826
0, 25, 26, 0, 84, 39826
0, 26, 30, 0, 84, 39826
0, 27, 27, 0, 84, 39826
0, 28, 27, 0, 84, 39826
0, 29, 27, 0, 84, 39826
0, 30, 27, 0, 84, 39826
0, 0, 0, 27
1500, 1, 35, 0, 106, 39804
0, 2, 35, 0, 106, 39804
0, 3, 35, 0, 106, 39804
0, 4, 35, 0, 106, 39804
0, 5, 35, 0, 106, 39804
0, 6, 35, 0, 106, 39804
0, 7, 35, 0, 106, 39804
0, 8, 35, 0, 106, 39804
0, 9, 35, 0, 106, 39804
0, 10, 35, 0, 106, 39804
0, 11, 35, 0, 106, 39804
0, 12, 35, 0, 106, 39804
0, 13, 36, 0, 106, 39804
0, 14, 35, 0, 106, 39804
0, 15, 35, 0, 106, 39804
0, 16, 35, 0, 106, 39804
0, 17, 35, 0, 106, 39804
0, 18, 35, 0, 106, 39804
0, 19, 35, 0, 106, 39804
0, 20, 35, 0, 106, 39804
0, 21, 35, 0, 106, 39804
0, 22, 35, 0, 106, 39804
0, 23, 35, 0, 106, 39804
0, 24, 35, 0, 106, 39804
0, 25, 35, 0, 106, 39804
0, 26, 35, 0, 106, 39804
0, 27, 35, 0, 106, 39804
0, 28, 35, 0, 106, 39804
0, 29, 35, 0, 106, 39804
0, 30, 36, 0, 106, 39804
0, 0, 0, 35
2000, 1, 44, 0, 130, 39780
0, 2, 44, 0, 130, 39780
0, 3, 44, 0, 130, 39780
0, 4, 51, 0, 130, 39780
0, 5, 44, 0, 130, 39780
0, 6, 44, 0, 130, 39780
0, 7, 44, 0, 130, 39780
0, 8, 44, 0, 130, 39780
0, 9, 44, 0, 130, 39780
0, 10, 44, 0, 130, 39780
0, 11, 44, 0, 130, 39780
0, 12, 44, 0, 130, 39780
0, 13, 44, 0, 130, 39780
0, 14, 44, 0, 130, 39780
0, 15, 44, 0, 130, 39780
0, 16, 44, 0, 130, 39780
0, 17, 44, 0, 130, 39780
0, 18, 44, 0, 130, 39780
0, 19, 44, 0, 130, 39780
0, 20, 44, 0, 130, 39780
0, 21, 44, 0, 130, 39780
0, 22, 44, 0, 130, 39780
0, 23, 44, 0, 130, 39780
0, 24, 44, 0, 130, 39780
0, 25, 44, 0, 130, 39780
0, 26, 44, 0, 130, 39780
0, 27, 44, 0, 130, 39780
0, 28, 44, 0, 130, 39780
0, 29, 44, 0, 130, 39780
0, 30, 44, 0, 130, 39780
0, 0, 0, 44
2500, 1, 53, 0, 152, 39758
0, 2, 53, 0, 152, 39758
0, 3, 53, 0, 152, 39758
0, 4, 53, 0, 152, 39758
0, 5, 53, 0, 152, 39758
0, 6, 70, 0, 152, 39758
0, 7, 53, 0, 152, 39758
0, 8, 53, 0, 152, 39758
0, 9, 53, 0, 152, 39758
0, 10, 53, 0, 152, 39758
0, 11, 53, 0, 152, 39758
0, 12, 53, 0, 152, 39758
0, 13, 53, 0, 152, 39758
0, 14, 53, 0, 152, 39758
0, 15, 53, 0, 152, 39758
0, 16, 53, 0, 152, 39758
0, 17, 53, 0, 152, 39758
0, 18, 53, 0, 152, 39758
0, 19, 53, 0, 152, 39758
0, 20, 53, 0, 152, 39758
0, 21, 53, 0, 152, 39758
0, 22, 53, 0, 152, 39758
0, 23, 53, 0, 152, 39758
0, 24, 53, 0, 152, 39758
0, 25, 53, 0, 152, 39758
0, 26, 53, 0, 152, 39758
0, 27, 53, 0, 152, 39758
0, 28, 53, 0, 152, 39758
0, 29, 53, 0, 152, 39758
0, 30, 53, 0, 152, 39758
0, 0, 0, 54
3000, 1, 61, 0, 172, 39738
0, 2, 61, 0, 172, 39738
